Time,Voltage,Current,Power,Temperature,Humidity
0.02,0.64,-0.1,0.0,-14.2,54.3
2.05,0.64,-0.2,0.0,-14.2,54.0
4.06,0.64,-0.2,0.0,-14.2,54.1
6.07,0.64,-0.1,0.0,-14.2,54.0
8.08,0.64,-0.1,0.0,-14.2,53.9
10.09,0.65,-0.1,0.0,-14.2,54.0
12.09,0.64,-0.1,0.0,-14.2,53.9
14.1,0.64,-0.1,0.0,-14.2,53.9
16.11,0.64,-0.1,0.0,-14.2,53.6
18.12,0.64,0.0,0.0,-14.2,53.7
20.13,0.64,-0.2,0.0,-14.2,53.6
22.14,0.64,-0.1,0.0,-14.2,53.6
24.14,0.64,-0.1,0.0,-14.2,53.5
26.15,0.64,-0.1,0.0,-14.2,53.4
28.16,0.64,-0.1,0.0,-14.2,53.3
30.17,0.64,-0.1,0.0,-14.2,53.3
32.18,0.64,-0.1,0.0,-14.2,53.4
34.19,0.64,-0.1,0.0,-14.2,53.7
36.2,0.64,-0.2,0.0,-14.2,54.1
38.21,0.64,-0.1,0.0,-14.2,54.3
40.21,4.12,3.1,13.0,-14.1,54.6
42.22,3.83,206.9,793.0,-14.1,55.0
44.23,3.84,207.6,798.0,-14.0,55.3
46.24,3.84,206.6,793.0,-13.9,55.6
48.25,3.84,206.7,795.0,-13.8,56.0
50.26,3.84,206.5,793.0,-13.7,56.4
52.27,3.84,206.1,791.0,-13.6,56.8
54.27,3.84,206.1,791.0,-13.5,57.2
56.28,3.84,206.2,791.0,-13.4,57.6
58.29,3.84,206.1,791.0,-13.2,58.1
60.3,3.84,206.1,791.0,-13.1,58.3
62.31,3.84,205.9,790.0,-13.0,58.7
64.32,3.84,205.8,790.0,-12.9,59.0
66.33,3.84,205.7,790.0,-12.8,59.3
68.33,3.84,205.6,790.0,-12.7,59.7
70.34,3.83,204.3,782.0,-12.6,60.0
72.35,3.83,204.4,783.0,-12.5,60.3
74.36,3.83,204.2,782.0,-12.4,60.6
76.37,3.83,204.3,782.0,-12.3,61.0
78.38,3.83,204.3,783.0,-12.2,61.4
80.39,3.83,204.4,783.0,-12.2,61.6
