Time,,Voltage,Current,Power,Temperature,Humidity,,Time (Hours)
0.02,,0.66,0,0,-13,60,,0
2.05,,0.66,0,0,-13,60,,0
4.06,,0.66,0,0,-13,61,,0
6.07,,0.66,0,0,-13,60,,0
8.08,,0.66,0,0,-13,61,,0
10.09,,0.65,0,0,-13,61,,0
12.1,,0.66,0,0,-13,61,,0
14.11,,0.66,0,0,-13,61,,0
16.11,,0.66,0,0,-13,61,,0
18.12,,0.66,0,0,-13,60,,0
20.13,,0.66,0,0,-13,61,,0
22.14,,0.66,0,0,-13,60,,0
24.15,,0.66,0,0,-13,61,,0
26.16,,0.66,0,0,-13,60,,0
28.17,,0.66,0,0,-13,61,,0
30.17,,0.66,0,0,-13,61,,0
32.18,,0.66,0,0,-13,61,,0
34.19,,0.66,0,0,-13,61,,0
36.2,,0.67,0,0,-13,61,,0
38.21,,0.66,0,0,-13,61,,0
40.22,,0.65,0,0,-13,62,,0
42.23,,0.66,0,0,-13,62,,0
44.23,,4.06,3,13,-13,62,,0
46.24,,3.76,205,770,-13,62,,0
48.25,,3.76,204,767,-13,62,,0
50.26,,3.76,204,768,-13,62,,0
52.27,,3.76,204,767,-13,63,,0
54.28,,3.76,204,768,-13,63,,0
56.29,,3.76,204,768,-13,63,,0
58.3,,3.76,204,765,-12,63,,0
60.3,,3.76,204,765,-12,64,,0
62.31,,3.77,204,770,-12,64,,0
64.32,,3.76,203,762,-12,64,,0
66.33,,3.75,203,760,-12,64,,0
68.34,,3.76,203,765,-12,65,,0
70.35,,3.76,203,765,-12,65,,0
72.36,,3.76,203,764,-12,65,,0
74.36,,3.76,203,764,-12,65,,0
76.37,,3.76,203,764,-12,66,,0
78.38,,3.76,203,764,-12,66,,0
80.39,,3.76,203,764,-12,66,,0
82.4,,3.76,203,762,-12,66,,0
84.41,,3.76,203,762,-12,67,,0
86.42,,3.76,203,762,-12,67,,0
88.43,,3.76,203,762,-12,67,,0
90.44,,3.76,203,762,-12,67,,0
92.45,,3.76,203,762,-12,67,,0
94.45,,3.76,203,760,-12,68,,0
96.46,,3.76,202,760,-12,68,,0
98.47,,3.76,202,760,-12,68,,0
100.48,,3.76,202,760,-12,68,,0
102.49,,3.76,202,760,-12,69,,0
104.5,,3.76,202,760,-12,69,,0
106.51,,3.76,202,760,-11,69,,0
108.52,,3.76,202,760,-11,69,,0
110.53,,3.76,202,760,-11,69,,0
112.54,,3.76,202,759,-11,70,,0
114.54,,3.76,202,760,-11,70,,0
116.55,,3.76,202,759,-11,70,,0
118.56,,3.76,202,759,-11,70,,0
120.57,,3.76,202,759,-11,70,,0
122.58,,3.76,202,759,-11,71,,0
124.59,,3.76,202,759,-11,71,,0
126.6,,3.76,202,759,-11,71,,0
128.61,,3.76,202,757,-11,71,,0
130.62,,3.76,202,757,-11,71,,0
132.63,,3.76,202,757,-11,71,,0
134.63,,3.76,202,757,-11,72,,0
136.64,,3.76,202,757,-11,72,,0
138.65,,3.76,201,757,-11,72,,0
140.66,,3.76,201,757,-11,72,,0
142.67,,3.76,201,757,-11,72,,0
144.68,,3.76,201,757,-11,73,,0
146.69,,3.76,201,755,-11,73,,0
148.7,,3.76,201,755,-11,73,,0
150.71,,3.76,201,755,-11,73,,0
152.71,,3.76,201,755,-11,73,,0
154.72,,3.76,201,755,-11,73,,0
156.73,,3.76,201,755,-11,74,,0
158.74,,3.76,201,755,-11,73,,0
160.75,,3.76,201,755,-11,74,,0
162.76,,3.76,201,755,-11,74,,0
164.77,,3.76,201,755,-11,74,,0
166.77,,3.76,201,755,-11,74,,0
168.78,,3.76,201,755,-11,74,,0
170.79,,3.76,201,755,-11,74,,0
172.8,,3.76,201,755,-11,75,,0
174.81,,3.76,201,755,-11,75,,0
176.82,,3.75,201,755,-11,75,,0
178.83,,3.76,201,755,-11,75,,0
180.84,,3.76,201,755,-11,75,,0
182.85,,3.76,201,754,-11,75,,0
184.85,,3.76,201,755,-11,75,,0
186.86,,3.76,201,754,-11,75,,0
