Time,Voltage,Current,Power,Temperature,Humidity
0.02,1.02,-0.1,0.0,3.5,46.5
2.05,1.03,-0.1,0.0,3.5,46.6
4.06,1.02,-0.1,0.0,3.6,46.4
6.07,1.02,-0.1,0.0,3.5,46.3
8.08,1.02,-0.1,0.0,3.6,46.4
10.09,1.03,-0.1,0.0,3.5,46.3
12.09,1.02,-0.1,0.0,3.5,46.3
14.1,2.01,-0.1,0.0,3.7,46.2
16.11,1.03,-0.1,0.0,3.5,46.2
18.12,1.03,-0.2,0.0,3.6,46.1
20.13,3.15,-0.1,0.0,3.7,46.1
22.14,3.15,-0.1,0.0,3.6,46.0
24.14,3.15,-0.1,0.0,3.5,45.9
26.15,3.15,-0.1,0.0,3.6,46.0
28.16,3.15,-0.1,0.0,3.5,45.9
30.17,3.15,-0.1,0.0,3.6,45.9
32.18,3.15,-0.1,0.0,3.6,45.7
34.19,3.15,-0.1,0.0,3.6,45.8
36.2,3.15,-0.1,0.0,3.6,45.7
38.21,3.15,-0.1,0.0,3.6,45.9
40.21,3.15,-0.1,0.0,3.6,45.7
42.22,3.15,-0.1,0.0,3.6,45.7
44.23,3.15,-0.1,0.0,3.5,45.6
46.24,3.63,246.2,893.0,3.5,45.7
48.25,3.64,245.7,893.0,3.6,45.6
50.26,3.64,245.8,895.0,3.6,45.6
52.26,3.64,245.7,895.0,3.5,45.5
54.27,3.65,245.6,896.0,3.6,45.4
56.28,3.65,245.5,896.0,3.6,45.3
58.29,3.65,245.6,898.0,3.6,45.4
60.3,3.66,245.4,898.0,3.6,45.3
62.31,3.66,245.3,896.0,3.6,45.3
64.32,3.66,245.2,898.0,3.6,45.4
66.33,3.66,245.3,898.0,3.6,45.2
68.33,3.66,245.3,898.0,3.7,45.2
70.34,3.66,245.1,898.0,3.6,45.1
72.35,3.66,245.1,898.0,3.6,45.2
74.36,3.66,245.2,898.0,3.6,45.1
76.37,3.66,245.0,898.0,3.6,45.0
78.38,3.66,245.0,898.0,3.6,45.0
80.39,3.67,245.0,899.0,3.6,45.1
82.4,3.67,244.9,899.0,3.6,45.0
84.4,3.67,244.9,899.0,3.7,45.0
86.41,3.67,244.9,899.0,3.6,45.0
88.42,3.67,244.8,899.0,3.6,45.0
90.43,3.67,245.0,899.0,3.6,44.9
92.44,3.67,244.8,899.0,3.6,44.9
94.45,3.68,244.8,899.0,3.6,44.9
96.46,3.68,244.9,899.0,3.6,44.9
98.46,3.68,244.7,901.0,3.7,45.0
100.47,3.68,244.7,901.0,3.7,44.9
102.48,3.68,244.6,899.0,3.6,44.9
104.49,3.68,244.6,901.0,3.6,44.7
106.5,3.68,244.7,901.0,3.6,44.7
108.51,3.68,244.7,901.0,3.6,44.8
110.52,3.68,244.6,903.0,3.6,44.8
112.53,3.69,244.5,903.0,3.6,44.7
114.54,3.69,244.5,903.0,3.6,44.7
116.54,3.69,244.5,901.0,3.6,44.6
118.55,3.69,244.5,903.0,3.6,44.7
120.56,3.69,244.6,903.0,3.6,44.7
