Time,Bus Voltage,Voltage,Current,Power,Temperature,Humidity
0.03,1.06,1.06,0.5,0,3.3,16.4
2.07,1.07,1.07,0.6,0,3.4,16.4
4.08,1.07,1.07,0.5,0,3.2,16.3
6.09,1.06,1.06,0.5,0,3.3,16.3
8.1,1.07,1.07,0.6,0,3.3,16.4
10.11,1.07,1.07,0.7,0,3.3,16.4
12.12,1.07,1.07,0.6,0,3.3,16.4
14.13,1.06,1.06,0.5,0,3.3,16.4
16.14,1.06,1.06,0.3,0,3.3,16.3
18.14,1.06,1.06,0.6,0,3.3,16.9
20.15,1.06,1.06,0.3,0,3.3,18.5
22.16,1.07,1.07,0.2,0,3.4,19.5
24.17,1.07,1.07,0.2,0,3.3,20.3
26.18,1.06,1.06,0.6,0,3.4,21.2
28.19,1.07,1.07,0.4,0,3.4,22.4
30.2,1.07,1.07,0.5,0,3.4,23.9
32.21,1.07,1.07,0.5,0,3.4,25.4
34.22,1.06,1.06,0.3,0,3.5,27.1
36.23,1.06,1.06,0.4,0,3.5,28.7
38.24,1.06,1.06,0.5,0,3.6,30.4
40.25,1.06,1.06,0.4,0,3.6,31.9
42.26,3.5,3.5,0.4,0,3.7,33.4
44.27,3.5,3.5,0.2,4,3.7,34.9
46.27,3.5,3.5,0.5,4,3.8,36.3
48.28,3.5,3.5,0.4,0,3.8,37.5
50.29,3.5,3.5,0.1,0,3.9,38.7
52.3,1.11,1.11,0.3,0,3.9,39.6
54.31,1.07,1.07,0.4,0,4,40.7
56.32,1.07,1.07,0.4,0,4.1,41.6
58.33,3.5,3.5,0.3,0,4.1,42.4
60.34,3.5,3.5,0.4,0,4.2,43.2
62.35,3.5,3.5,0.1,0,4.2,44
64.36,3.5,3.5,0.6,4,4.3,44.7
66.37,3.5,3.5,0.2,0,4.3,45.3
68.38,3.5,3.5,0.4,0,4.4,46
70.38,3.5,3.5,0.4,0,4.4,46.6
72.39,3.5,3.5,0.4,0,4.4,47
74.4,3.5,3.5,0.4,0,4.5,47.6
76.41,3.5,3.5,0.1,0,4.5,48
78.42,3.5,3.5,0.2,0,4.5,48.4
80.43,3.5,3.5,0.3,0,4.6,48.8
82.44,3.5,3.5,0.5,4,4.6,49.2
84.45,3.5,3.5,0.2,0,4.7,49.5
86.46,3.5,3.5,0.4,4,4.7,49.8
88.47,3.5,3.5,0.2,0,4.7,50
90.48,3.5,3.5,0.3,0,4.7,50.4
92.49,3.93,3.88,489,1924,4.8,50.6
94.5,3.96,3.91,490.5,1940,4.8,50.9
96.5,3.94,3.89,464.8,1828,4.8,51.1
98.51,3.92,3.88,450.6,1766,4.8,51.3
100.52,3.92,3.88,448.5,1760,4.8,51.5
102.53,3.93,3.89,459.3,1806,4.8,51.6
104.54,3.93,3.89,457.1,1796,4.9,51.8
106.55,3.94,3.89,455.7,1792,4.9,52
108.56,3.93,3.89,456.1,1796,4.9,52.1
110.57,3.93,3.89,453,1782,4.9,52.2
112.58,3.93,3.89,450.3,1770,4.9,52.4
114.59,3.93,3.88,452.8,1780,4.9,52.5
116.6,3.93,3.88,450.6,1772,5,52.6
118.61,3.94,3.89,451.8,1776,5,52.7
120.62,3.93,3.89,449.6,1766,5,52.7
122.63,3.93,3.89,450.6,1772,5,52.7
124.64,3.93,3.88,449.1,1766,5,52.8
126.65,3.93,3.89,446.9,1756,5,52.9
128.66,3.93,3.89,449.4,1770,5,52.9
130.67,3.92,3.88,443.5,1744,5,53
132.68,3.94,3.89,447.1,1756,5,53
134.69,3.93,3.88,442.4,1740,5,53
136.7,3.94,3.89,445.6,1750,5.1,53.1
138.7,3.93,3.89,445.3,1754,5.1,53
140.71,3.93,3.89,445.4,1750,5.1,53
142.72,3.93,3.89,443.9,1756,5.1,53
144.73,3.93,3.89,444.1,1746,5.1,53
146.74,3.93,3.88,439.3,1726,5.1,52.9
148.75,3.93,3.89,439.6,1744,5.1,52.9
150.76,3.93,3.88,437.3,1718,5.1,52.9
152.77,3.94,3.89,442.4,1726,5.1,52.8
154.78,3.92,3.88,429.7,1684,5.1,52.8
156.79,3.93,3.89,442.7,1736,5.1,52.8
158.8,3.94,3.89,441.6,1736,5.1,52.7
160.8,3.93,3.88,433.1,1700,5.1,52.6
162.81,3.93,3.88,434.1,1698,5.1,52.5
164.82,3.93,3.89,440.9,1734,5.1,52.4
166.83,3.93,3.88,436,1714,5.1,52.3
168.84,3.93,3.88,437.4,1718,5.1,52.3
170.85,3.93,3.89,431.8,1698,5.1,52.3
172.86,3.93,3.89,436.4,1718,5.1,52.2
174.87,3.94,3.89,437.6,1724,5.1,52.1
176.88,3.93,3.89,436,1718,5.1,52.1
178.89,3.93,3.89,436.6,1718,5.1,52
180.9,3.93,3.89,434.2,1708,5.1,51.9
182.9,3.94,3.89,436.6,1718,5.1,51.8
184.91,3.93,3.88,431.6,1682,5.1,51.7
186.92,3.94,3.89,436.5,1718,5.1,51.7
188.93,3.93,3.88,432.2,1698,5.1,51.6
190.94,3.93,3.89,434.7,1710,5.1,51.5
192.95,3.93,3.88,430.4,1690,5.1,51.4
194.96,3.94,3.89,434.8,1704,5.1,51.3
196.97,3.93,3.89,431.2,1694,5.1,51.2
198.98,3.93,3.88,435,1714,5.1,51.2
200.99,3.94,3.89,433.4,1704,5.1,51.1
203,3.94,3.89,434.2,1710,5.1,51
205.01,3.93,3.89,434.4,1710,5,51
207.02,3.94,3.89,434.9,1708,5.1,50.8
209.03,3.93,3.89,426.4,1688,5.1,50.9
211.04,3.94,3.89,433.6,1704,5.1,50.9
213.05,3.93,3.89,428.8,1682,5,50.9
