Time,Voltage,Current,Power,Temperature,Humidity
0.02,0.64,-0.1,0.0,2.3,11.5
2.05,0.64,-0.1,0.0,2.4,11.5
4.06,0.65,-0.2,0.0,2.4,11.5
6.07,0.63,-0.1,0.0,2.4,11.4
8.08,0.64,0.0,0.0,2.4,11.4
10.09,0.65,-0.1,0.0,2.4,11.4
12.1,0.63,-0.1,0.0,2.4,11.6
14.1,0.66,-0.1,0.0,2.4,11.4
16.11,0.64,-0.1,0.0,2.4,11.4
18.12,0.64,-0.2,0.0,2.4,11.5
20.13,0.65,-0.1,0.0,2.4,11.6
22.14,0.62,-0.1,0.0,2.4,11.5
24.15,0.65,-0.1,0.0,2.4,11.5
26.16,0.65,-0.1,0.0,2.5,11.6
28.17,0.64,-0.1,0.0,2.4,11.6
30.17,0.66,-0.1,0.0,2.4,11.4
32.18,0.64,-0.1,0.0,2.4,11.6
34.19,0.64,-0.1,0.0,2.3,11.4
36.2,0.66,-0.1,0.0,2.4,11.5
38.21,0.62,-0.1,0.0,2.4,11.5
40.22,0.65,-0.2,0.0,2.4,11.4
42.23,0.65,-0.1,0.0,2.5,11.6
44.24,0.64,-0.1,0.0,2.4,11.6
46.25,0.66,-0.1,0.0,2.4,11.4
48.25,0.64,-0.1,0.0,2.4,11.6
50.26,4.06,3.1,13.0,2.4,11.6
52.27,3.62,184.3,667.0,2.4,11.6
54.28,3.62,184.3,668.0,2.4,11.4
56.29,3.62,183.6,665.0,2.5,11.5
58.3,3.61,182.7,660.0,2.4,11.5
60.31,3.63,184.3,668.0,2.4,11.7
62.31,3.63,184.4,668.0,2.4,11.6
64.32,3.63,184.5,670.0,2.4,11.7
66.33,3.64,185.1,673.0,2.5,11.8
68.34,3.64,184.8,672.0,2.5,13.4
70.35,3.63,184.7,672.0,2.5,15.0
72.36,3.64,184.7,672.0,2.5,16.1
74.36,3.64,184.6,672.0,2.5,17.3
76.38,3.64,184.4,670.0,2.6,18.2
78.38,3.63,183.4,665.0,2.6,19.8
80.39,3.62,182.6,660.0,2.5,21.1
82.4,3.63,183.4,665.0,2.6,22.6
