Time,Bus Voltage,Battery Voltage,Current,Power,Temperature,Humidity
0.03,0.35,0.35,0.5,0.0,22.6,34.2
2.07,0.34,0.34,0.6,0.0,22.6,34.2
4.08,0.34,0.34,0.5,0.0,22.6,34.4
6.09,0.34,0.34,0.5,0.0,22.6,34.3
8.1,0.35,0.35,0.5,0.0,22.6,34.1
10.11,0.34,0.34,0.3,0.0,22.6,34.1
12.12,0.34,0.34,0.6,0.0,22.6,34.1
14.13,0.34,0.34,0.4,0.0,22.6,34.1
16.14,0.35,0.35,0.6,0.0,22.6,34.4
18.15,0.34,0.34,0.4,0.0,22.6,34.2
20.16,0.34,0.34,0.5,0.0,22.6,34.1
22.17,0.35,0.35,0.6,0.0,22.6,34.1
24.17,0.34,0.34,0.7,0.0,22.6,34.0
26.18,0.34,0.34,0.5,0.0,22.6,34.3
28.19,0.34,0.34,0.6,0.0,22.6,34.1
30.2,0.34,0.34,0.6,0.0,22.6,34.3
32.21,0.34,0.34,0.5,0.0,22.6,34.4
34.22,0.34,0.34,0.7,0.0,22.6,34.2
36.23,0.34,0.34,0.5,0.0,22.6,34.3
38.24,0.34,0.34,0.3,0.0,22.6,34.0
40.25,0.34,0.34,0.3,0.0,22.6,34.2
42.26,0.34,0.34,0.4,0.0,22.6,34.1
44.27,0.34,0.34,0.3,0.0,22.6,34.0
46.28,0.34,0.34,0.4,0.0,22.6,34.1
48.29,0.34,0.34,0.5,0.0,22.6,34.4
50.29,0.34,0.34,0.4,0.0,22.6,34.1
52.3,0.35,0.35,0.7,0.0,22.6,34.1
54.31,0.34,0.34,0.7,0.0,22.6,34.0
56.32,0.34,0.34,0.4,0.0,22.6,33.9
58.33,0.34,0.34,0.5,0.0,22.6,34.2
60.34,0.34,0.34,0.7,0.0,22.6,34.1
62.35,0.35,0.35,0.5,0.0,22.6,33.9
64.36,0.34,0.34,0.3,0.0,22.6,34.3
66.37,0.34,0.34,0.3,0.0,22.6,34.0
68.38,0.34,0.34,0.4,0.0,22.6,34.0
70.39,0.34,0.34,0.4,0.0,22.6,34.3
72.4,0.34,0.34,0.4,0.0,22.6,34.1
74.41,0.34,0.34,0.4,0.0,22.6,33.8
76.42,0.34,0.34,0.4,0.0,22.6,34.2
78.43,0.34,0.34,0.5,0.0,22.6,34.2
80.43,2.81,2.76,544.3,1530.0,22.6,34.0
82.44,2.66,2.65,74.7,200.0,22.6,34.0
84.45,2.66,2.65,74.6,196.0,22.6,34.1
86.46,2.66,2.65,74.8,200.0,22.6,34.2
88.47,2.66,2.65,74.6,196.0,22.6,34.2
90.48,2.66,2.65,74.6,196.0,22.6,34.3
92.49,2.66,2.65,74.7,196.0,22.6,34.2
94.5,2.66,2.66,74.5,196.0,22.6,34.2
96.51,2.66,2.66,74.8,200.0,22.6,34.2
98.52,2.66,2.66,74.6,200.0,22.6,34.2
100.53,2.67,2.66,74.2,196.0,22.6,34.3
102.54,2.67,2.66,74.5,200.0,22.6,34.2
104.55,2.67,2.66,74.3,200.0,22.6,34.4
106.56,2.68,2.67,74.3,200.0,22.6,34.3
108.57,2.68,2.67,74.4,200.0,22.6,34.3
110.58,2.68,2.67,74.0,196.0,22.6,34.3
112.59,2.68,2.67,74.1,200.0,22.6,34.3
114.61,2.68,2.67,74.2,200.0,22.6,34.3
116.61,2.68,2.67,74.4,200.0,22.6,34.3
118.62,2.68,2.68,74.1,200.0,22.6,34.3
120.63,2.68,2.68,74.0,200.0,22.6,34.3
122.64,2.69,2.68,74.4,200.0,22.6,34.3
124.65,2.69,2.68,74.0,200.0,22.7,34.2
126.66,2.69,2.68,74.0,200.0,22.6,34.3
128.67,2.69,2.68,74.0,200.0,22.6,34.4
130.68,2.69,2.68,74.1,200.0,22.6,34.4
132.69,2.69,2.68,74.2,200.0,22.7,34.5
134.7,2.7,2.69,74.1,200.0,22.6,34.4
136.71,2.7,2.69,74.1,200.0,22.6,34.4
138.71,2.7,2.69,74.2,200.0,22.6,34.3
140.72,2.7,2.69,74.0,200.0,22.6,34.4
142.73,2.7,2.69,74.2,200.0,22.7,34.4
144.74,2.7,2.7,74.0,200.0,22.6,34.4
146.75,2.7,2.7,73.9,200.0,22.6,34.4
148.76,2.7,2.7,74.0,200.0,22.6,34.3
150.77,2.7,2.7,74.3,200.0,22.7,34.4
152.78,2.71,2.7,73.8,200.0,22.6,34.4
154.79,2.71,2.7,74.0,200.0,22.7,34.4
156.8,2.71,2.7,74.0,200.0,22.7,34.4
158.8,2.72,2.71,74.0,200.0,22.7,34.5
160.81,2.71,2.7,74.1,200.0,22.7,34.5
162.82,2.71,2.7,74.0,200.0,22.7,34.5
164.83,2.72,2.71,73.7,200.0,22.7,34.4
166.84,2.72,2.71,73.6,200.0,22.6,34.4
168.85,2.72,2.71,73.9,204.0,22.7,34.5
170.86,2.72,2.71,73.9,200.0,22.7,34.5
172.87,2.9,2.85,540.2,1570.0,22.7,34.5
174.88,2.92,2.87,538.2,1572.0,22.6,34.5
176.89,2.93,2.88,537.5,1580.0,22.7,34.5
178.9,2.95,2.89,536.9,1580.0,22.7,34.5
180.91,2.96,2.9,536.3,1586.0,22.7,34.5
182.92,2.96,2.91,535.6,1586.0,22.6,34.5
184.93,2.98,2.92,535.4,1592.0,22.7,34.5
186.94,2.98,2.93,534.5,1596.0,22.7,34.5
188.95,2.99,2.94,534.7,1600.0,22.7,34.6
190.96,3.0,2.94,534.2,1602.0,22.7,34.5
192.97,3.0,2.95,533.8,1602.0,22.7,34.4
194.97,3.01,2.96,533.6,1608.0,22.7,34.5
196.98,3.02,2.97,533.3,1608.0,22.7,34.4
198.99,3.03,2.97,533.1,1612.0,22.7,34.4
201.0,3.03,2.98,532.6,1612.0,22.7,34.4
203.01,3.04,2.99,532.4,1618.0,22.7,34.3
205.02,3.05,2.99,532.3,1618.0,22.7,34.4
207.03,3.05,3.0,532.2,1626.0,22.7,34.5
209.04,3.06,3.01,531.8,1628.0,22.7,34.4
211.05,3.06,3.01,531.4,1628.0,22.7,34.2
213.06,3.07,3.02,531.4,1632.0,22.7,34.5
215.07,3.08,3.02,531.3,1636.0,22.7,34.2
217.08,3.08,3.03,531.3,1638.0,22.7,34.1
219.09,3.09,3.03,530.8,1638.0,22.7,34.3
221.1,3.09,3.04,530.7,1644.0,22.7,34.2
223.11,3.1,3.05,530.5,1644.0,22.7,34.6
225.12,3.1,3.05,530.3,1644.0,22.7,34.3
227.13,3.11,3.05,530.3,1648.0,22.7,34.4
229.13,3.12,3.06,530.0,1648.0,22.7,34.5
231.14,3.12,3.07,529.6,1652.0,22.7,34.6
233.15,3.12,3.07,529.8,1652.0,22.7,34.5
235.16,3.13,3.08,529.6,1658.0,22.7,34.5
237.17,3.14,3.08,529.4,1662.0,22.7,34.4
239.18,3.14,3.08,529.2,1658.0,22.7,34.6
241.19,3.14,3.09,529.2,1664.0,22.7,34.2
243.2,3.14,3.09,529.2,1664.0,22.7,34.5
245.21,3.14,3.09,528.9,1662.0,22.7,34.6
247.22,3.15,3.1,528.9,1668.0,22.7,34.7
249.23,3.16,3.1,528.7,1668.0,22.7,34.7
251.24,3.16,3.11,528.7,1672.0,22.7,34.7
253.25,3.16,3.11,528.4,1672.0,22.7,34.6
255.26,3.17,3.12,528.7,1674.0,22.7,34.5
257.27,3.17,3.12,528.1,1674.0,22.7,34.3
259.28,3.17,3.12,528.4,1674.0,22.7,34.7
261.29,3.18,3.12,528.3,1678.0,22.7,34.3
263.3,3.18,3.13,528.4,1682.0,22.7,34.2
265.31,3.18,3.13,528.3,1682.0,22.7,34.2
267.32,3.19,3.14,528.1,1684.0,22.7,34.2
269.33,3.19,3.14,528.0,1684.0,22.7,34.3
271.33,3.19,3.14,528.0,1684.0,22.7,34.2
273.34,3.2,3.14,527.8,1684.0,22.7,34.1
275.35,3.2,3.15,527.6,1688.0,22.7,33.9
277.36,3.2,3.15,527.6,1690.0,22.7,33.8
279.37,3.2,3.15,527.7,1690.0,22.7,34.0
281.38,3.21,3.16,527.6,1694.0,22.7,33.7
283.39,3.21,3.16,527.4,1694.0,22.7,33.8
285.4,3.21,3.16,527.3,1694.0,22.7,33.7
287.41,3.22,3.16,527.3,1694.0,22.7,33.8
289.42,3.22,3.17,527.1,1700.0,22.7,33.7
291.43,3.22,3.17,527.3,1698.0,22.7,33.5
293.44,3.23,3.18,526.9,1700.0,22.7,33.3
295.45,3.23,3.18,527.1,1700.0,22.7,33.4
297.46,3.23,3.18,527.1,1700.0,22.7,33.6
299.47,3.23,3.18,526.9,1704.0,22.7,33.4
301.48,3.23,3.18,526.9,1704.0,22.7,33.5
303.49,3.24,3.18,526.9,1708.0,22.7,33.6
305.5,3.24,3.18,526.6,1704.0,22.7,33.5
307.51,3.24,3.19,526.5,1708.0,22.7,33.4
309.52,3.25,3.2,526.6,1710.0,22.7,33.5
311.52,3.25,3.2,526.6,1710.0,22.7,33.5
313.54,3.25,3.2,526.3,1710.0,22.7,33.5
315.55,3.25,3.2,526.4,1710.0,22.7,33.3
317.55,3.26,3.2,526.7,1714.0,22.7,33.5
319.56,3.26,3.21,526.2,1714.0,22.7,33.5
321.57,3.26,3.21,526.3,1718.0,22.7,33.2
323.58,3.26,3.21,526.4,1718.0,22.7,33.5
325.59,3.26,3.21,526.2,1718.0,22.7,33.4
