Time,Voltage,Current,Power,Temperature,Humidity
0.02,4.1,3.2,13.0,22.6,28.6
2.05,4.03,226.2,911.0,22.6,28.6
4.06,4.03,226.0,911.0,22.6,28.6
6.07,4.03,225.9,909.0,22.6,28.7
8.08,4.03,225.9,909.0,22.6,28.6
10.09,4.03,225.7,909.0,22.6,28.7
12.1,4.03,225.6,909.0,22.6,28.7
14.1,4.03,225.6,909.0,22.6,28.7
16.11,4.03,225.5,908.0,22.6,28.6
18.12,4.03,225.4,908.0,22.6,28.7
20.13,4.03,225.3,908.0,22.6,28.7
22.14,4.03,225.3,908.0,22.6,28.7
24.15,4.03,225.2,906.0,22.6,28.7
26.16,4.02,225.1,908.0,22.6,28.7
28.17,4.03,225.1,906.0,22.6,28.7
30.17,4.02,225.1,906.0,22.6,28.6
32.18,4.02,225.0,906.0,22.6,28.7
34.19,4.02,224.9,904.0,22.6,28.7
36.2,4.02,224.9,904.0,22.6,28.7
38.21,4.02,224.9,906.0,22.6,28.7
40.22,4.02,224.9,904.0,22.6,28.6
42.23,4.02,224.8,904.0,22.6,28.6
44.24,4.02,224.7,904.0,22.6,28.7
46.25,4.02,224.6,904.0,22.6,28.6
48.25,4.02,224.6,904.0,22.6,28.6
50.26,4.02,224.6,904.0,22.6,28.6
52.27,4.02,224.6,904.0,22.6,28.7
54.28,4.02,224.6,903.0,22.6,28.5
56.29,4.02,224.5,903.0,22.6,28.6
58.3,4.02,224.4,903.0,22.6,28.6
60.31,4.02,224.4,903.0,22.6,28.6
62.32,4.02,224.4,903.0,22.6,28.7
64.33,4.02,224.4,903.0,22.6,28.7
66.33,4.02,224.3,903.0,22.6,28.7
68.34,4.02,224.4,903.0,22.6,28.7
70.35,4.02,224.3,903.0,22.6,28.7
72.36,4.02,224.3,903.0,22.6,28.8
74.37,4.02,224.2,903.0,22.6,28.7
76.38,4.02,224.2,903.0,22.6,28.7
78.39,4.02,224.2,903.0,22.6,28.7
80.4,4.02,224.1,903.0,22.6,28.8
82.41,4.02,224.1,901.0,22.6,28.7
84.41,4.02,224.1,901.0,22.6,28.6
86.42,4.02,224.1,901.0,22.6,28.8
88.43,4.02,224.0,901.0,22.6,28.8
90.44,4.02,224.0,901.0,22.6,28.7
92.45,4.02,224.0,901.0,22.6,28.7
94.46,4.02,224.0,901.0,22.6,28.8
96.47,4.02,224.0,901.0,22.6,28.7
98.48,4.02,223.9,901.0,22.6,28.8
100.48,4.02,223.9,899.0,22.6,28.7
102.49,4.02,223.9,899.0,22.6,28.8
104.5,4.02,223.9,899.0,22.6,28.7
106.51,4.02,223.9,899.0,22.6,28.7
108.52,4.02,223.8,899.0,22.6,28.7
110.53,4.02,223.8,899.0,22.6,28.6
112.54,4.02,223.8,899.0,22.6,28.8
114.55,4.02,223.8,899.0,22.6,28.7
116.55,4.02,223.8,899.0,22.6,28.6
118.56,4.02,223.8,899.0,22.6,28.7
120.57,4.02,223.8,899.0,22.6,28.7
122.58,4.02,223.7,899.0,22.6,28.6
124.59,4.02,223.7,899.0,22.6,28.6
126.6,4.02,223.7,899.0,22.6,28.7
128.61,4.02,223.6,899.0,22.6,28.7
130.62,4.02,223.6,899.0,22.6,28.7
132.62,4.02,223.6,899.0,22.6,28.6
134.63,4.02,223.6,899.0,22.6,28.6
136.64,4.02,223.6,899.0,22.6,28.6
138.65,4.02,223.5,899.0,22.6,28.7
140.66,4.02,223.6,899.0,22.6,28.6
142.67,4.02,223.5,898.0,22.6,28.6
144.68,4.02,223.5,898.0,22.6,28.6
146.69,4.02,223.4,898.0,22.6,28.6
148.7,4.02,223.4,898.0,22.6,28.7
150.7,4.02,223.4,898.0,22.6,28.6
152.71,4.02,223.4,898.0,22.6,28.6
154.72,4.02,223.5,898.0,22.6,28.7
156.73,4.02,223.4,898.0,22.6,28.6
158.74,4.02,223.3,898.0,22.6,28.7
160.75,4.02,223.3,898.0,22.6,28.7
162.76,4.02,223.3,898.0,22.6,28.6
164.77,4.02,223.3,898.0,22.6,28.6
166.77,4.02,223.3,898.0,22.6,28.7
168.78,4.02,223.3,898.0,22.6,28.6
170.79,4.02,223.3,898.0,22.6,28.7
172.8,4.02,223.3,898.0,22.6,28.7
174.81,4.02,223.3,898.0,22.6,28.6
176.82,4.02,223.3,898.0,22.6,28.6
178.83,4.02,223.3,898.0,22.6,28.5
180.84,4.02,223.2,898.0,22.6,28.6
182.84,4.02,223.2,898.0,22.6,28.6
184.85,4.02,223.2,898.0,22.6,28.6
186.86,4.02,223.2,896.0,22.6,28.6
188.87,4.02,223.2,896.0,22.6,28.5
190.88,4.02,223.2,896.0,22.6,28.6
192.89,4.02,223.1,896.0,22.6,28.6
194.9,4.02,223.2,898.0,22.6,28.6
196.91,4.02,223.1,896.0,22.6,28.6
198.91,4.02,223.1,896.0,22.6,28.6
200.92,4.02,223.1,896.0,22.6,28.6
202.93,4.02,223.1,896.0,22.6,28.6
204.94,4.02,223.1,896.0,22.6,28.6
206.95,4.02,223.1,896.0,22.6,28.6
208.96,4.02,223.1,896.0,22.6,28.7
210.97,4.02,223.1,896.0,22.6,28.7
212.98,4.02,223.1,896.0,22.6,28.7
214.98,4.02,223.1,896.0,22.6,28.7
216.99,4.02,223.0,896.0,22.6,28.7
219.0,4.02,223.0,896.0,22.6,28.7
221.01,4.02,223.0,896.0,22.6,28.7
223.02,4.02,223.0,896.0,22.6,28.7
225.03,4.02,223.0,896.0,22.6,28.8
227.04,4.02,223.0,896.0,22.6,28.7
229.05,4.02,222.9,895.0,22.6,28.7
231.05,4.02,223.0,896.0,22.6,28.7
233.06,4.02,223.0,895.0,22.6,28.7
235.07,4.02,222.9,896.0,22.6,28.8
237.08,4.02,222.9,896.0,22.5,28.7
239.09,4.02,223.0,896.0,22.6,28.8
241.1,4.02,222.9,895.0,22.6,28.8
243.11,4.02,222.8,895.0,22.6,28.6
245.12,4.02,222.9,895.0,22.6,28.7
247.13,4.02,222.9,895.0,22.6,28.8
249.13,4.02,222.8,895.0,22.6,28.8
251.14,4.02,222.9,895.0,22.6,28.7
253.15,4.02,222.8,895.0,22.6,28.7
255.16,4.02,222.8,895.0,22.6,28.8
257.17,4.02,222.9,895.0,22.6,28.7
259.18,4.02,222.8,895.0,22.6,28.7
261.19,4.02,222.8,895.0,22.6,28.8
263.2,4.02,222.7,895.0,22.6,28.8
265.2,4.02,222.8,895.0,22.6,28.8
267.21,4.02,222.8,895.0,22.6,28.8
269.22,4.02,222.7,895.0,22.6,28.8
271.23,4.02,222.8,895.0,22.6,28.8
273.24,4.02,222.7,895.0,22.6,28.8
275.25,4.02,222.7,895.0,22.6,28.8
277.26,4.01,222.8,895.0,22.6,28.7
279.27,4.02,222.7,893.0,22.6,28.8
281.27,4.01,222.7,895.0,22.6,28.8
283.28,4.02,222.7,895.0,22.6,28.8
285.29,4.02,222.7,895.0,22.6,28.8
287.3,4.02,222.7,895.0,22.6,28.8
289.31,4.02,222.6,895.0,22.6,28.8
291.32,4.02,222.7,895.0,22.6,28.8
293.33,4.02,222.6,895.0,22.6,28.7
295.33,4.02,222.6,895.0,22.6,28.7
297.35,4.02,222.6,895.0,22.6,28.7
299.36,4.02,222.7,895.0,22.6,28.7
301.36,4.02,222.6,895.0,22.5,28.7
303.37,4.02,222.5,893.0,22.6,28.7
305.38,4.02,222.6,895.0,22.6,28.6
307.39,4.01,222.6,895.0,22.6,28.7
309.4,4.01,222.6,895.0,22.6,28.8
311.41,4.01,222.5,895.0,22.6,28.7
313.42,4.01,222.5,893.0,22.6,28.8
315.42,4.01,222.6,893.0,22.6,28.7
317.43,4.02,222.5,893.0,22.6,28.8
319.44,4.01,222.5,893.0,22.6,28.7
321.45,4.01,222.5,893.0,22.6,28.8
323.46,4.01,222.5,893.0,22.6,28.6
325.47,4.01,222.4,893.0,22.6,28.8
327.48,4.01,222.5,893.0,22.6,28.8
329.49,4.01,222.5,893.0,22.6,28.7
331.5,4.01,222.5,893.0,22.6,28.8
333.5,4.01,222.5,893.0,22.6,28.8
335.51,4.01,222.4,893.0,22.6,28.8
337.52,4.01,222.4,893.0,22.6,28.8
339.53,4.01,222.5,893.0,22.6,28.8
341.54,4.01,222.4,893.0,22.6,28.8
343.55,4.01,222.4,893.0,22.5,28.8
345.56,4.01,222.4,893.0,22.6,28.8
347.57,4.01,222.4,893.0,22.5,28.8
349.58,4.01,222.4,893.0,22.5,28.8
351.58,4.01,222.4,893.0,22.5,28.9
353.59,4.01,222.3,893.0,22.5,28.8
355.6,4.01,222.4,893.0,22.6,28.8
357.61,4.01,222.3,891.0,22.5,28.9
359.62,4.01,222.4,893.0,22.6,28.9
361.63,4.01,222.3,891.0,22.5,29.0
363.64,4.01,222.3,891.0,22.6,28.9
365.65,4.01,222.4,893.0,22.6,28.9
367.66,4.01,222.4,893.0,22.6,28.9
369.66,4.01,222.3,891.0,22.6,28.8
371.67,4.01,222.3,893.0,22.5,28.8
373.68,4.01,222.3,893.0,22.6,28.8
375.69,4.01,222.3,891.0,22.5,28.8
377.7,4.01,222.3,891.0,22.5,28.9
379.71,4.01,222.3,891.0,22.5,28.8
381.72,4.01,222.3,891.0,22.6,28.9
383.73,4.01,222.2,891.0,22.6,28.8
385.73,4.01,222.2,891.0,22.6,28.7
387.74,4.01,222.3,891.0,22.6,28.8
389.75,4.01,222.3,891.0,22.5,28.8
391.76,4.01,222.3,891.0,22.5,28.7
393.77,4.01,222.2,891.0,22.5,28.9
395.78,4.01,222.2,891.0,22.6,28.8
397.79,4.01,222.2,891.0,22.5,28.8
399.8,4.01,222.1,891.0,22.6,28.8
401.8,4.01,222.2,891.0,22.5,28.7
403.81,4.01,222.1,890.0,22.5,28.8
405.82,4.01,222.2,891.0,22.5,28.7
407.83,4.01,222.2,891.0,22.5,28.7
409.84,4.01,222.2,891.0,22.6,28.8
411.85,4.01,222.2,891.0,22.5,28.7
413.86,4.01,222.1,891.0,22.5,28.7
415.86,4.01,222.2,891.0,22.6,28.8
417.87,4.01,222.1,890.0,22.5,28.8
419.88,4.01,222.1,890.0,22.5,28.7
421.89,4.01,222.1,891.0,22.6,28.8
423.9,4.01,222.1,890.0,22.6,28.8
425.91,4.01,222.1,891.0,22.6,28.8
427.92,4.01,222.0,890.0,22.5,28.8
429.93,4.01,222.1,891.0,22.5,28.8
431.94,4.01,222.0,890.0,22.5,28.8
433.95,4.01,222.0,890.0,22.6,28.8
435.95,4.01,222.0,890.0,22.6,28.8
437.96,4.01,222.1,891.0,22.6,28.8
439.97,4.01,222.1,890.0,22.6,28.9
441.98,4.01,222.0,890.0,22.6,28.8
443.99,4.01,222.0,890.0,22.6,28.9
446.0,4.01,222.1,890.0,22.6,28.9
448.01,4.01,222.1,891.0,22.6,28.9
450.02,4.01,222.0,890.0,22.6,28.9
452.03,4.01,222.0,890.0,22.5,29.0
454.03,4.01,222.0,890.0,22.6,28.9
456.04,4.01,222.0,890.0,22.5,28.9
458.05,4.01,222.0,890.0,22.6,28.8
460.06,4.01,222.0,890.0,22.6,29.0
462.07,4.01,222.0,890.0,22.6,28.8
464.08,4.01,222.0,890.0,22.6,28.8
466.09,4.01,221.9,890.0,22.6,29.0
468.1,4.01,222.0,890.0,22.5,28.8
470.1,4.01,221.9,890.0,22.5,28.8
472.11,4.01,221.9,890.0,22.6,29.0
474.12,4.01,221.9,890.0,22.5,28.8
476.13,4.01,221.9,890.0,22.6,28.9
478.14,4.01,221.9,890.0,22.6,29.0
480.15,4.01,221.9,890.0,22.6,28.9
482.16,4.01,221.9,890.0,22.6,28.9
484.17,4.01,221.9,890.0,22.6,28.9
486.17,4.01,221.9,890.0,22.6,28.9
488.18,4.01,221.8,890.0,22.6,28.9
490.19,4.01,221.8,890.0,22.6,28.9
492.2,4.01,221.9,890.0,22.6,29.0
494.21,4.01,221.8,890.0,22.6,28.9
496.22,4.01,221.9,890.0,22.5,28.9
498.23,4.01,221.8,890.0,22.6,29.0
500.24,4.01,221.8,890.0,22.6,28.9
502.25,4.01,221.8,890.0,22.6,28.9
504.26,4.01,221.8,890.0,22.5,29.0
506.26,4.01,221.8,890.0,22.6,28.8
508.27,4.01,221.8,890.0,22.5,29.0
510.28,4.01,221.8,890.0,22.6,28.9
512.29,4.01,221.8,890.0,22.6,28.9
514.3,4.01,221.8,890.0,22.6,28.9
